Name,Version,License
Flask,2.2.3,BSD License
Flask-Login,0.6.2,MIT License
Flask-SQLAlchemy,3.0.3,BSD License
Flask-Session,0.4.0,BSD License
Flask-SocketIO,5.3.1,MIT License
Jinja2,3.1.2,BSD License
MarkupSafe,2.1.2,BSD License
Pillow,9.4.0,Historical Permission Notice and Disclaimer (HPND)
Pygments,2.14.0,BSD License
SQLAlchemy,2.0.4,MIT License
Werkzeug,2.2.3,BSD License
asttokens,2.2.1,Apache 2.0
backcall,0.2.0,BSD License
bidict,0.22.1,Mozilla Public License 2.0 (MPL 2.0)
cachelib,0.10.2,BSD License
certifi,2022.12.7,Mozilla Public License 2.0 (MPL 2.0)
chardet,3.0.4,GNU Library or Lesser General Public License (LGPL)
click,8.1.3,BSD License
comm,0.1.2,BSD License
contourpy,1.0.7,BSD License
cycler,0.11.0,BSD License
debugpy,1.6.6,Eclipse Public License 2.0 (EPL-2.0); MIT License
decorator,5.1.1,BSD License
dnspython,2.3.0,ISC
eventlet,0.33.3,MIT License
executing,1.2.0,MIT License
fonttools,4.38.0,MIT License
gevent,22.10.2,MIT License
greenlet,2.0.2,MIT License
idna,2.10,BSD License
importlib-metadata,6.0.0,Apache Software License
importlib-resources,5.12.0,Apache Software License
ipykernel,6.21.2,BSD License
ipython,8.11.0,BSD License
ipywidgets,8.0.4,BSD License
itsdangerous,2.1.2,BSD License
jedi,0.18.2,MIT License
jupyter_client,8.0.3,BSD License
jupyter_core,5.2.0,BSD License
jupyterlab-widgets,3.0.5,BSD License
kiwisolver,1.4.4,BSD License
matplotlib,3.7.0,Python Software Foundation License
matplotlib-inline,0.1.6,BSD 3-Clause
nest-asyncio,1.5.6,BSD License
numpy,1.24.2,BSD License
packaging,23.0,Apache Software License; BSD License
parso,0.8.3,MIT License
pexpect,4.8.0,ISC License (ISCL)
pickleshare,0.7.5,MIT License
platformdirs,3.0.0,MIT License
prompt-toolkit,3.0.38,BSD License
psutil,5.9.4,BSD License
ptyprocess,0.7.0,ISC License (ISCL)
pure-eval,0.2.2,MIT License
pyparsing,3.0.9,MIT License
python-dateutil,2.8.2,Apache Software License; BSD License
python-engineio,4.3.4,MIT License
python-socketio,5.7.2,MIT License
pyzmq,25.0.0,BSD License; GNU Library or Lesser General Public License (LGPL)
requests,2.23.0,Apache Software License
scipy,1.10.1,BSD License
six,1.16.0,MIT License
stack-data,0.6.2,MIT License
tornado,6.2,Apache Software License
tqdm,4.64.1,MIT License; Mozilla Public License 2.0 (MPL 2.0)
traitlets,5.9.0,BSD License
typing_extensions,4.5.0,Python Software Foundation License
urllib3,1.25.11,MIT License
widgetsnbextension,4.0.5,BSD License
zipp,3.15.0,MIT License
zope.event,4.6,Zope Public License
zope.interface,5.5.2,Zope Public License
#### JAVASCRIPT,####,####
BabelJS,,MIT License
Backbone,,MIT License
Bootstrap,,MIT License
D3,,ISC
SurveyJS,,MIT License
Jquery,,MIT License
JSCookie,,MIT License
noUISlider,,MIT License
underscoreJS,,MIT License
